date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:16:54	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2010%20Jun%202020%2000:16:53%20GMT	https://notariamasmas.com/robots.txt		(from )
19:16:56	198220/198220	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Jun%202020%2000:16:54%20GMT	https://notariamasmas.com/	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/index.html	(from )
19:16:56	7974/7974	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202019%2001:25:33%20GMT	https://notariamasmas.com/wp-content/uploads/2019/10/Icon.png	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/uploads/2019/10/Icon.png	(from https://notariamasmas.com/)
19:16:57	22659/22659	---MC-	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202019%2019:24:50%20GMT	https://notariamasmas.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css	(from https://notariamasmas.com/)
19:16:58	41467/41467	---MC-	200	added ('OK')	text/css	date:Tue,%2019%20Nov%202019%2017:00:29%20GMT	https://notariamasmas.com/wp-includes/css/dist/block-library/style.min.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-includes/css/dist/block-library/style.min.css	(from https://notariamasmas.com/)
19:16:58	902/902	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2004%20Jun%202020%2017:19:30%20GMT	https://notariamasmas.com/feed/	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/feed/index.html	(from https://notariamasmas.com/)
19:16:59	1685/1685	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202019%2001:48:44%20GMT	https://notariamasmas.com/wp-content/plugins/contact-form-7/includes/css/styles.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/contact-form-7/includes/css/styles.css	(from https://notariamasmas.com/)
19:16:59	796/796	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2010%20Jun%202020%2000:16:58%20GMT	https://notariamasmas.com/comments/feed/	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/comments/feed/index.html	(from https://notariamasmas.com/)
19:17:00	57762/57762	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Oct%202019%2018:48:38%20GMT	https://notariamasmas.com/wp-content/plugins/revslider/public/assets/css/rs6.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/revslider/public/assets/css/rs6.css	(from https://notariamasmas.com/)
19:17:00	29029/29029	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202019%2001:48:45%20GMT	https://notariamasmas.com/wp-content/plugins/wp-whatsapp-chat/assets/css/qlwapp.min.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/wp-whatsapp-chat/assets/css/qlwapp.min.css	(from https://notariamasmas.com/)
19:17:04	281547/281547	---M--	200	added ('OK')	text/css	date:Mon,%2007%20Oct%202019%2022:38:22%20GMT	https://notariamasmas.com/wp-content/themes/thefox/style.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/style.css	(from https://notariamasmas.com/)
19:17:06	291556/291556	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Apr%202018%2022:31:18%20GMT	https://notariamasmas.com/wp-content/themes/thefox/style_end.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/style_end.css	(from https://notariamasmas.com/)
19:17:09	54938/54938	---MC-	200	added ('OK')	text/css	date:Sun,%2005%20Aug%202018%2001:40:58%20GMT	https://notariamasmas.com/wp-content/themes/thefox/media-queries_wide.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/media-queries_wide.css	(from https://notariamasmas.com/)
19:17:09	2277/2277	---M--	200	added ('OK')	text/css	date:Sat,%2008%20Aug%202015%2021:15:56%20GMT	https://notariamasmas.com/wp-content/themes/thefox/css/rgs.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/css/rgs.css	(from https://notariamasmas.com/)
19:17:10	89228/89228	---M--	200	added ('OK')	text/css	date:Sat,%2014%20Mar%202015%2018:38:00%20GMT	https://notariamasmas.com/wp-content/themes/thefox/css/animations.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/css/animations.css	(from https://notariamasmas.com/)
19:17:10	6103/6103	---M--	200	added ('OK')	text/css	date:Sat,%2014%20Mar%202015%2018:49:00%20GMT	https://notariamasmas.com/wp-content/themes/thefox/includes/Flexslider/flexslider.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/includes/Flexslider/flexslider.css	(from https://notariamasmas.com/)
19:17:11	28589/28589	---MC-	200	added ('OK')	text/css	date:Sat,%2014%20Mar%202015%2018:38:00%20GMT	https://notariamasmas.com/wp-content/themes/thefox/css/font-awesome.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/css/font-awesome.css	(from https://notariamasmas.com/)
19:17:12	81099/81099	---M--	200	added ('OK')	text/css	date:Thu,%2019%20Mar%202015%2003:01:18%20GMT	https://notariamasmas.com/wp-content/themes/thefox/css/moon.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/css/moon.css	(from https://notariamasmas.com/)
19:17:13	29328/29328	---MC-	200	added ('OK')	text/css	date:Thu,%2019%20Mar%202015%2002:57:00%20GMT	https://notariamasmas.com/wp-content/themes/thefox/css/elegant.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/css/elegant.css	(from https://notariamasmas.com/)
19:17:15	30129/30129	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202016%2018:35:54%20GMT	https://notariamasmas.com/wp-content/themes/thefox/includes/prettyPhoto/css/prettyPhoto.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/includes/prettyPhoto/css/prettyPhoto.css	(from https://notariamasmas.com/)
19:17:15	294/294	---M--	200	added ('OK')	text/css	date:Sat,%2014%20Mar%202015%2018:55:00%20GMT	https://notariamasmas.com/wp-content/themes/thefox/includes/zilla-likes/styles/zilla-likes.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/includes/zilla-likes/styles/zilla-likes.css	(from https://notariamasmas.com/)
19:17:17	188992/188992	---M--	200	added ('OK')	text/css	date:Sun,%2028%20Jul%202019%2000:11:20%20GMT	https://notariamasmas.com/wp-content/themes/thefox/css/thefox_js_composer.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/themes/thefox/css/thefox_js_composer.css	(from https://notariamasmas.com/)
19:17:17	14534/14534	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202019%2019:58:01%20GMT	https://notariamasmas.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css	(from https://notariamasmas.com/)
19:17:18	18468/18468	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202019%2019:58:01%20GMT	https://notariamasmas.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css	(from https://notariamasmas.com/)
19:17:18	103638/103638	---MC-	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202019%2019:58:01%20GMT	https://notariamasmas.com/wp-content/plugins/elementor/assets/css/frontend.min.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/elementor/assets/css/frontend.min.css	(from https://notariamasmas.com/)
19:17:19	194305/194305	---MC-	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202019%2020:08:04%20GMT	https://notariamasmas.com/wp-content/plugins/elementor-pro/assets/css/frontend.min.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/elementor-pro/assets/css/frontend.min.css	(from https://notariamasmas.com/)
19:17:20	55967/55967	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202019%2019:58:01%20GMT	https://notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css	(from https://notariamasmas.com/)
19:17:20	26625/26625	---MC-	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202019%2019:58:01%20GMT	https://notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css	(from https://notariamasmas.com/)
19:17:21	20747/20747	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202019%2020:09:07%20GMT	https://notariamasmas.com/wp-content/uploads/elementor/css/global.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/uploads/elementor/css/global.css	(from https://notariamasmas.com/)
19:17:22	64210/64210	---M--	200	added ('OK')	text/css	date:Thu,%2004%20Jun%202020%2017:19:57%20GMT	https://notariamasmas.com/wp-content/uploads/elementor/css/post-29.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/uploads/elementor/css/post-29.css	(from https://notariamasmas.com/)
19:17:22	54540/54540	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202019%2019:58:01%20GMT	https://notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css	(from https://notariamasmas.com/)
19:17:23	667/667	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202019%2019:58:01%20GMT	https://notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css	(from https://notariamasmas.com/)
19:17:23	675/675	---M--	200	added ('OK')	text/css	date:Wed,%2030%20Oct%202019%2019:58:01%20GMT	https://notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css	(from https://notariamasmas.com/)
19:17:24	96873/96873	---M--	200	added ('OK')	application/javascript	date:Wed,%2010%20Jul%202019%2021:47:13%20GMT	https://notariamasmas.com/wp-includes/js/jquery/jquery.js	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-includes/js/jquery/jquery.js	(from https://notariamasmas.com/)
19:17:25	10056/10056	---MC-	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	https://notariamasmas.com/wp-includes/js/jquery/jquery-migrate.min.js	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-includes/js/jquery/jquery-migrate.min.js	(from https://notariamasmas.com/)
19:17:26	122239/122239	---MC-	200	added ('OK')	application/javascript	date:Thu,%2010%20Oct%202019%2019:24:50%20GMT	https://notariamasmas.com/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js	(from https://notariamasmas.com/)
19:17:27	126414/126414	---MC-	200	added ('OK')	application/javascript	date:Thu,%2010%20Oct%202019%2019:24:50%20GMT	https://notariamasmas.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js	(from https://notariamasmas.com/)
19:17:27	23831/23831	---M--	200	added ('OK')	application/javascript	date:Thu,%2010%20Oct%202019%2019:24:50%20GMT	https://notariamasmas.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js	(from https://notariamasmas.com/)
19:17:29	150689/150689	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Oct%202019%2018:48:38%20GMT	https://notariamasmas.com/wp-content/plugins/revslider/public/assets/js/revolution.tools.min.js	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/revslider/public/assets/js/revolution.tools.min.js	(from https://notariamasmas.com/)
19:17:30	14974/14974	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20Oct%202019%2019:58:01%20GMT	https://notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min.js	(from https://notariamasmas.com/)
19:17:30	274558/274558	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Oct%202019%2018:48:38%20GMT	https://notariamasmas.com/wp-content/plugins/revslider/public/assets/js/rs6.min.js	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-content/plugins/revslider/public/assets/js/rs6.min.js	(from https://notariamasmas.com/)
19:17:31	816/816	---M--	200	added ('OK')	text/xml	date:Wed,%2010%20Jun%202020%2000:17:30%20GMT	https://notariamasmas.com/xmlrpc.php?rsd	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/xmlrpc0db0.php	(from https://notariamasmas.com/)
19:17:32	92006/92006	---MC-	200	added ('OK')	application/json	date:Wed,%2010%20Jun%202020%2000:17:29%20GMT	https://notariamasmas.com/wp-json/	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-json/index.html	(from https://notariamasmas.com/)
19:17:32	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://notariamasmas.com/wp-includes/wlwmanifest.xml	C:/Mis%20lugares%20Web/NOTARIAS/notariamasmas.com/wp-includes/wlwmanifest.xml	(from https://notariamasmas.com/)
